title,type,release_year,mpa_rating,runtime,seasons,imdb_id,imdb_score,imdb_votes
Happy as Lazzaro,MOVIE,2018,PG_13,125,,tt6752992,7.5,17716
Handsome Devil,MOVIE,2017,NOT_RATED,95,,tt5016946,7.0,13708
Forgotten,MOVIE,2017,NOT_RATED,109,,tt4236484,7.4,29804
Innocent,SHOW,2017,TV_14,51,1.0,tt6478854,8.4,17727
On Body and Soul,MOVIE,2017,NOT_RATED,116,,tt5607714,7.5,27003
Ricky Gervais: Humanity,MOVIE,2018,R,79,,tt7830574,7.9,18523
On My Block,SHOW,2018,TV_14,29,4.0,tt7879820,7.9,15642
What the Health,MOVIE,2017,NOT_RATED,97,,tt5541848,7.4,28911
Tabula Rasa,SHOW,2017,TV_MA,52,1.0,tt5197860,8.0,10161
Suburra: Blood on Rome,SHOW,2017,TV_MA,48,3.0,tt7197684,7.9,14346
Andhadhun,MOVIE,2018,R,139,,tt8303792,8.2,88359
First They Killed My Father,MOVIE,2017,R,136,,tt4882376,7.2,17871
Bad Genius,MOVIE,2017,PG_13,130,,tt6788942,7.6,20430
Cloudy with a Chance of Meatballs,SHOW,2017,TV_Y7,11,2.0,tt4123482,3.4,750
Girl,MOVIE,2018,R,105,,tt8254556,7.1,14046
Our Souls at Night,MOVIE,2017,NOT_RATED,101,,tt5034266,6.9,13360
The Mechanism,SHOW,2018,TV_MA,47,2.0,tt6873658,8.0,36077
Gaga: Five Foot Two,MOVIE,2017,NOT_RATED,100,,tt7291268,7.0,12825
El Chapo,SHOW,2017,TV_MA,44,3.0,tt6692188,7.8,17992
Sacred Games,SHOW,2018,TV_MA,50,2.0,tt10810630,8.6,85088
The Christmas Chronicles,MOVIE,2018,PG,104,,tt2990140,7.0,71182
Warrior,SHOW,2018,TV_MA,42,1.0,tt9249090,6.7,1966
Dogs of Berlin,SHOW,2018,TV_MA,60,1.0,tt6839788,7.5,12453
Car Masters: Rust to Riches,SHOW,2018,TV_PG,39,3.0,tt8893550,8.4,10024
Mersal,MOVIE,2017,NOT_RATED,169,,tt6485666,8.1,32573
Sarkar,MOVIE,2018,NOT_RATED,164,,tt8591968,7.0,18453
The Platform,SHOW,2018,TV_14,45,2.0,tt8254954,6.2,7
Manhunt,MOVIE,2017,NOT_RATED,106,,tt4537986,5.2,3210
Toilet: A Love Story,MOVIE,2017,NOT_RATED,155,,tt5785170,7.2,20675
Stree,MOVIE,2018,NOT_RATED,128,,tt8108202,7.6,32814
Mom,MOVIE,2017,NOT_RATED,147,,tt8771030,7.2,10320
Secret Superstar,MOVIE,2017,NOT_RATED,150,,tt6108090,7.9,24046
Sanju,MOVIE,2018,NOT_RATED,161,,tt6452574,7.7,52227
Ittefaq,MOVIE,2017,PG,107,,tt6692354,7.2,12095
Bareilly Ki Barfi,MOVIE,2017,NOT_RATED,123,,tt6967980,7.5,23011
Parmanu: The Story of Pokhran,MOVIE,2018,NOT_RATED,129,,tt6826438,7.6,23771
In the Family,MOVIE,2017,PG_13,124,,tt7642818,7.7,23297
Pad Man,MOVIE,2018,PG_13,140,,tt7218518,7.9,25269
Russian Doll,SHOW,2019,TV_MA,28,2.0,tt7520794,7.8,88945
The Gentlemen,MOVIE,2019,R,113,,tt8367814,7.8,314049
Demon Slayer: Kimetsu no Yaiba,SHOW,2019,TV_MA,25,3.0,tt9335498,8.7,88265
Sex Education,SHOW,2019,TV_MA,52,4.0,tt7767422,8.3,251168
After Life,SHOW,2019,TV_MA,28,3.0,tt8398600,8.5,124972
The Umbrella Academy,SHOW,2019,TV_14,52,3.0,tt1312171,8.0,202522
The Witcher,SHOW,2019,TV_MA,58,2.0,tt5180504,8.2,465949
Uncut Gems,MOVIE,2019,R,130,,tt5727208,7.4,261956
Formula 1: Drive to Survive,SHOW,2019,TV_MA,38,6.0,tt8289930,8.6,36661
The Queen's Gambit,SHOW,2020,TV_MA,56,1.0,tt10048342,8.6,406350
Dead to Me,SHOW,2019,TV_MA,31,2.0,tt9889712,8.0,73110
I Think You Should Leave with Tim Robinson,SHOW,2019,TV_MA,16,3.0,tt10050772,7.9,11411
The Last Dance,SHOW,2020,TV_MA,50,1.0,tt8420184,9.1,108321
Unbelievable,SHOW,2019,TV_MA,48,1.0,tt7909970,8.4,95658
Outer Banks,SHOW,2020,TV_MA,49,2.0,tt10293938,7.5,43404
The King,MOVIE,2019,R,140,,tt7984766,7.3,119020
In the Dark,SHOW,2019,TV_14,41,4.0,tt7772602,7.7,10927
The Devil All the Time,MOVIE,2020,R,138,,tt8956406,7.1,122321
My Octopus Teacher,MOVIE,2020,NOT_RATED,84,,tt12888462,8.1,51232
The Irishman,MOVIE,2019,R,209,,tt1302006,7.8,371209
Feel Good,SHOW,2020,TV_MA,25,2.0,tt10098620,7.5,10317
Top Boy,SHOW,2019,TV_MA,44,3.0,,,0
Marriage Story,MOVIE,2019,R,136,,tt7653254,7.9,290643
The Trial of the Chicago 7,MOVIE,2020,R,130,,tt1070874,7.7,170728
Criminal: UK,SHOW,2019,TV_MA,44,2.0,tt9348692,7.6,17992
Never Have I Ever,SHOW,2020,TV_14,28,4.0,tt10062292,7.8,45346
El Camino: A Breaking Bad Movie,MOVIE,2019,R,123,,tt10819010,7.3,216847
The Call,MOVIE,2020,NOT_RATED,112,,tt10530176,7.1,29450
Alice in Borderland,SHOW,2020,TV_MA,47,2.0,tt10795658,7.6,47651
Kingdom,SHOW,2019,TV_MA,48,2.0,tt6611916,8.3,43760
The Social Dilemma,MOVIE,2020,PG_13,94,,tt11464826,7.6,79674
The Promised Neverland,SHOW,2019,TV_MA,23,2.0,tt8788458,8.4,34730
The Dark Crystal: Age of Resistance,SHOW,2019,TV_PG,51,1.0,tt6905542,8.4,24164
When They See Us,SHOW,2019,TV_MA,74,1.0,tt7137906,8.9,114127
The Platform,MOVIE,2019,NOT_RATED,94,,tt8228288,7.0,207877
Giri/Haji,SHOW,2019,TV_MA,58,1.0,tt8001106,7.8,13570
Don't F**k with Cats: Hunting an Internet Killer,SHOW,2019,TV_MA,62,1.0,tt11318602,8.0,50250
The Forgotten Battle,MOVIE,2020,NOT_RATED,124,,tt10521092,7.1,26368
